wvtr
testname,wvtr
sample,Mysample
thikness,10
duration,1 min:52 sec
durationsecond,112
testtime,15:59:58
testdate,04/03/2022
customerid,N0090
indistry,Textile
application,Geotextiles
materialclassification,Consolidate
materialtype,Hydrophilic
splate,Medium
testdata,15
datatype,5
testtype,Upright
method,Water
tChamber,40.901808194094755,40.904859998474095,40.903334096284425,40.901808194094755,40.903334096284425,40.903334096284425,40.904859998474095,40.903334096284425,40.903334096284425,40.901808194094755,40.904859998474095,40.903334096284425,40.901808194094755,40.9094377050431,40.904859998474095
hChamber,21.95223926146334,21.95117112993057,21.95117112993057,21.95117112993057,21.95223926146334,21.95117112993057,21.95117112993057,21.95117112993057,21.95117112993057,21.95223926146334,21.95117112993057,21.95117112993057,21.95117112993057,21.95223926146334,21.95117112993057
tBottom,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569,0.006103608758678569
hBottom,22.980849927519646,22.980849927519646,22.979781795986877,22.979781795986877,22.979781795986877,22.980849927519646,22.979781795986877,22.980849927519646,22.980849927519646,22.980849927519646,22.979781795986877,22.980849927519646,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985
tTop,50.19760433356222,50.19760433356222,50.19913023575189,50.19913023575189,50.19913023575189,50.19913023575189,50.20065613794156,50.19913023575189,50.19760433356222,50.19607843137255,50.19607843137255,50.19760433356222,50.19760433356222,50.19760433356222,50.20065613794156
hTop,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985,0.0042725261310749985
t,
svp,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854,0.854
avp,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487,0.0036487373159380487
mass,2.5175006690861493E-5,2.517476205463562E-5,2.5174884372154247E-5,2.5175006690861493E-5,2.5174884372154247E-5,2.5174884372154247E-5,2.517476205463562E-5,2.5174884372154247E-5,2.5174884372154247E-5,2.5175006690861493E-5,2.517476205463562E-5,2.5174884372154247E-5,2.5175006690861493E-5,2.5174395109211296E-5,2.517476205463562E-5
